Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Title 1,URL 1,Title 2,URL 2,Title 3,URL 3
,1918+146,FALSE,T,19,20,17,:+14,41,39,49.3,0.4,x,2400,,,,5-45,,,,,,,,,
,1940-04,FALSE,B,19,42,38,-3,54,:,35.3,-13.1,x,3600,,,,50,,,,,,,,,
,1957+115,FALSE,U,19,59,24,+11,42,30,51.3,-9.3,o,,18.7,,,30,,9.33,,,,,,,
,2000+251,FALSE,TU,20,2,49.6,+25,14,12,63.4,-3.1,o,,18.9,,,0.5-11000,,8.26,,,,,,,
,J2012+381,FALSE,TU,20,12,37.8,+38,11,1.1,75.4,+2.22,o,0.35,21.33,,,160,,,,,,,,,
,2023+338,FALSE,TU,20,24,3.8,+33,52,4,73.2,-2.2,o,,12.7,,,0.4-20000,,155.4,,,,,,,
,J2123-058,FALSE,TBA,21,23,14.54,-5,47,52.9,58.1,-29.9,o,1,16.8-19.24,,,110,,5.96,,,,,,,
,2127+119,FALSE,GB,21,29,58.3,+12,10,3,65,-27.3,o,,15.8-16.4,,,6,,17.1,,,,,,,
,2129+470,FALSE,B,21,31,26.2,+47,17,24,91.6,-3,o,,16.4-17.5,0.65,-0.3,9,,5.24,,,,,,,
Cyg X-2,2142+380,TRUE,ZB,21,44,41.2,+38,19,18,87.3,-11.3,o,,14.7,0.5,-0.2,450,,236.2,,Thermonuclear X-ray bursts detected in Cyg X-2 using AstroSat/LAXPC,https://ui.adsabs.harvard.edu/abs/2021NewA...8301479D,,,,
,2318+620,FALSE,,23,20,34.1,+62,17,33,112.6,+1.3,r,,,,,2.4,,,,,,,,,
