Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),E(B - V) (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Spectral Type,Other Name 1,Other Name 2,Title 1,URL 1,Title 2,URL 2
,1555-552,FALSE,,15,54,22,-55,19,44,327,-1.2,o,,8.6,0.56,-0.43,,1.7,,,,B2nne,,",SAO243098",,,,
OAO 1657-415,1657-415,TRUE,P,17,0,47.9,-41,40,23,344.4,+0.3,x,15,,,,,4 - 42,,10.4,38,B0-B6Ia-Iab,,,,,,
,1700-377,FALSE,,17,3,56.7,-37,50,39,347.8,+2.2,o,,6.6,0.27,-0.72,0.52,11.   -  110.,,3.41,,O6.5f,,",V884 Sco",,,,
,J170006-4157,FALSE,P,17,0,5.3,-41,57,44,344,+0.25,x,60,,,,,0.4,,,714.5,,,,,,,
,1722-363,FALSE,P,17,25,55,-36,24,42,351.5,-0.6,x,540,,,,,0.2  -    5.,,,413,,,,,,,
,J1739-302,FALSE,T,17,38,53,-30,15,36,358.1,+0.56,x,180,,,,,136,(2-25 keV),,,,,,,,,
,J1739.5-2942,FALSE,,17,39,30.1,-29,42,7,358.6,-0.74,x,19.2,,,,,,,,,,,,,,,
,J1744.7-2713,FALSE,,17,44,45.4,-27,13,47,1.36,+1.1,x,18,8.4,0.44,-0.64,,0.06,,,,B2V-IIIe,,,,,,
,J1749.2-2725,FALSE,TP,17,49,10.1,-27,25,16,1.7,+0.1,x,60,,,,,1.36,,,220.38,,,,,,,
,J1750-27,FALSE,P,17,49,12,-26,38,50,2.4,+0.5,x,120,,,,,27,,29.8,4.45,,,,,,,
,1807-10,FALSE,T,18,10,42,-10,52,,18.6,+3.9,x,4680,,,,,2.   -   10.,,,,,,,,,,
,J1820.5-1434,FALSE,P,18,20,29.5,-14,34,24,16.5,+0.07,x,30,,,,,1,,,152.26,,,,,,,
,J1826.2-1450,FALSE,,18,26,14.9,-14,50,29,17.9,-1.29,x,22,11.23,0.94,-0.16,0.8,0.3,,,,O7V((f)),,,,,,
,1833-076,FALSE,PT,18,36,28.9,-7,36,21,24.5,-0.2,x,30,,,,,1.6  -  200.,,,111,Sct X-1,,,,,,
,1839-06,FALSE,T,18,41,42,-5,51,,26.6,-0.5,x,1800,,,,,1,,,,,,,,,,
,1839-04,FALSE,PT,18,41,48,-4,27,,27.9,+0.1,x,1440,,,,,2.5,,,81.1,,,,,,,
,1843+009,FALSE,PT,18,45,30,0,57,,33.1,+1.7,x,600,,,,,0.4  -   33.,,,29.5,,,,,,,
,1845-03,FALSE,T,18,47,24,-3,9,,29.7,-0.5,x,1440,,,,,1,,,,,,,,,,
,1845-024,FALSE,PT,18,48,17.7,-2,25,13,30.4,-0.4,x,30,,,,,1.   -   44.,,241,94.8,,,,,,,
,1845.0-0433,FALSE,T,18,47,41,-4,30,12,28.8,-1.22,x,60,13.96,2.2,1.04,2.45,45,(0.7-10 keV),,,O9.5I,,,,,,
,1855-02,FALSE,PT,18,58,0,-2,44,,31.3,-2.7,x,600,,,,,2,,,,,,,,,,
,J1855-026,FALSE,P,18,55,42,-2,37,,31.1,-2.15,x,360,,,,,6,,6.1,361,,,,,,,
,J1858+034,FALSE,TP,18,58,36,3,21,,36.7,-0.07,x,150,,,,,25,,,221,,,,,,,
,1901+03,FALSE,T,19,4,12,3,10,30,37.2,-1.4,x,600,,,,,2.   -   87.,,,,,,,,,,
,J1906+09,FALSE,P,19,5,20,9,2,30,42.6,+1.04,x,120,,,,,0.7,,,89.17,,,,,,,
,1907+097,FALSE,PT,19,9,37.9,+09,49,49,43.7,+0.5,o,,16.4,3.2,,3.3,4.   -  275.,,8.38,438,BI,,,,,,
,1909+048,FALSE,,19,11,49.6,+04,58,58,39.7,-2.2,"o,r",,14.2,2.1,0.6,2.6,2.   -   10.,,13.1,,pec,,",V1343 Aql",,,,
,1936+541,FALSE,,19,32,52.3,+53,52,45,85.9,+15.9,o,,9.8,,,,0.7,,,,Be,,,,,,
,J1946+274,FALSE,TP,19,45,38,27,21,38,63.2,+1.38,x,60,,,,,1.   -   25.,(2-60 keV),80,15.8,1942+274,,,,,,
,1947+300,FALSE,T,19,49,35.6,+30,12,31,66.1,+2.1,o,,14.2,0.9,-0.3,1.1,10.   -   84.,,,,,,,,,,
,J1948+32,FALSE,P,19,48,0,32,0,,64.9,+1.8,x,,,,,,27.   -   53.,(20-75 keV),35,18.7,,,,,,,
,1954+319,FALSE,,19,55,43.3,+32,6,3,68.4,+1.9,x,15,,,,,1.5  -   80.,,,,,,,,,,
,1956+350,FALSE,U,19,58,21.7,+35,12,6,71.3,+3.1,"o,r",,8.9,0.84,-0.26,1.06,235.   - 1320.,,5,,O9.7Iab,Cyg X-1,",V1357 Cyg",,,,
EXO 2030+375,2030+375,TRUE,PT,20,32,15.3,+37,38,15,77.2,-1.3,o,2,19.7,3.3,,3.8,0.5  - 1400.,,46,41.8,B0,,,,,,
Cyg X-3,2030+407,TRUE,,20,32,25.7,+40,57,28,79.9,+0.7,r,,,,,6.3,90.   -  430.,,0.2,,Wolf-Rayet,Cyg X-3,,The Period Change of Cyg X-3,https://ui.adsabs.harvard.edu/abs/2019ApJ...871..244A,,
,J2030.5+4751,FALSE,,20,30,30.6,47,51,46,85.2,+5.02,x,18,9.27,0.38,-0.65,,0.04,,,,B0.5V-IIIe,,,,,,
GRO J2058+42,J2058+42,TRUE,TP,20,59,0,41,43,,83.5,-2.75,x,240,,,,,320,,110,198,,,,AstroSat Observations of GRO J2058+42 during the 2019 Outburst,https://ui.adsabs.harvard.edu/abs/2020ApJ...897...73M,,
,J2103.5+4545,FALSE,P,21,3,33,45,45,0,87.1,+0.71,x,150,,,,,20,,12.68,358.61,,,,,,,
,2138+568,FALSE,PT,21,39,34,57,3,36,99,+3.3,x,420,,,,,6.   -  100.,,,66.2,B1,Cep X-4,,,,,
,2202+501,FALSE,,22,1,38.2,+50,10,4,97.3,-4,o,,8.8,,,,0.7,,,,Be,,",SAO51568",,,,
,2206+543,FALSE,,22,7,57,+54,31,6,100.6,-1.1,o,2,9.9,0.2,-0.6,0.5,0.6  -    5.5,,,392,B1e,,,,,,
,2214+589,FALSE,,22,26,33.1,+61,14,17,106.4,+3.1,o,,11,,,,0.5,,,,Be,,,,,,
,J2239.3+6116,FALSE,T,22,39,20.9,+61,16,26.8,107.7,+2.3,o,0.3,15.1,1.4,,1.4,16,,262,,B0V-B2IIIe,,,,,,
